id,Churn,churn
594194,0,0.0
594195,0,0.0
594196,0,0.0
594197,0,0.0
594198,0,0.5
594199,0,0.1
594200,0,0.7
594201,0,0.0
594202,0,0.0
594203,0,0.6
594204,0,0.0
594205,0,0.1
594206,0,0.2
594207,0,0.9
594208,0,0.0
594209,0,0.0
594210,0,0.4
594211,0,0.0
594212,0,0.6
594213,0,0.4
594214,0,0.0
594215,0,0.5
594216,0,0.0
594217,0,0.9
594218,0,0.1
594219,0,0.4
594220,0,0.0
594221,0,0.0
594222,0,0.0
594223,0,0.8
594224,0,0.0
594225,0,0.0
594226,0,0.8
594227,0,0.1
594228,0,0.3
594229,0,0.0
594230,0,0.0
594231,0,0.1
594232,0,0.1
594233,0,0.8
594234,0,0.6
594235,0,0.5
594236,0,0.8
594237,0,0.1
594238,0,0.2
594239,0,0.9
594240,0,0.5
594241,0,0.9
594242,0,0.9
594243,0,0.0
594244,0,0.0
594245,0,0.3
594246,0,0.5
594247,0,0.7
594248,0,0.2
594249,0,0.2
594250,0,0.0
594251,0,0.6
594252,0,0.8
594253,0,0.0
594254,0,0.3
594255,0,0.3
594256,0,0.0
594257,0,0.1
594258,0,0.0
594259,0,0.0
594260,0,0.9
594261,0,0.0
594262,0,0.4
594263,0,0.0
594264,0,0.6
594265,0,0.0
594266,0,0.0
594267,0,0.0
594268,0,0.0
594269,0,0.1
594270,0,0.0
594271,0,0.3
594272,0,0.0
594273,0,0.6
594274,0,0.0
594275,0,0.1
594276,0,0.3
594277,0,0.2
594278,0,0.6
594279,0,0.9
594280,0,0.5
594281,0,0.0
594282,0,0.5
594283,0,0.1
594284,0,0.0
594285,0,0.0
594286,0,0.7
594287,0,0.0
594288,0,0.0
594289,0,0.0
594290,0,0.0
594291,0,0.0
594292,0,0.1
594293,0,0.4
594294,0,0.1
594295,0,0.3
594296,0,0.3
594297,0,0.0
594298,0,0.0
594299,0,0.3
594300,0,0.0
594301,0,0.1
594302,0,0.3
594303,0,0.2
594304,0,0.7
594305,0,0.1
594306,0,0.1
594307,0,0.0
594308,0,0.1
594309,0,0.9
594310,0,1.0
594311,0,0.0
594312,0,0.0
594313,0,0.0
594314,0,0.3
594315,0,0.9
594316,0,0.0
594317,0,0.1
594318,0,0.0
594319,0,0.0
594320,0,0.5
594321,0,0.0
594322,0,0.2
594323,0,0.1
594324,0,0.3
594325,0,0.0
594326,0,0.0
594327,0,1.0
594328,0,0.3
594329,0,0.0
594330,0,0.0
594331,0,0.9
594332,0,0.0
594333,0,0.5
594334,0,0.0
594335,0,0.2
594336,0,0.0
594337,0,0.0
594338,0,0.0
594339,0,0.4
594340,0,0.2
594341,0,0.0
594342,0,0.1
594343,0,0.0
594344,0,0.1
594345,0,0.3
594346,0,0.0
594347,0,0.0
594348,0,0.0
594349,0,0.1
594350,0,0.5
594351,0,0.0
594352,0,0.0
594353,0,0.0
594354,0,0.0
594355,0,0.0
594356,0,0.1
594357,0,0.0
594358,0,0.1
594359,0,0.0
594360,0,0.0
594361,0,0.0
594362,0,0.0
594363,0,0.0
594364,0,0.3
594365,0,0.0
594366,0,0.2
594367,0,0.6
594368,0,0.0
594369,0,0.4
594370,0,0.0
594371,0,0.3
594372,0,0.3
594373,0,0.1
594374,0,0.0
594375,0,0.3
594376,0,0.0
594377,0,0.1
594378,0,0.1
594379,0,0.0
594380,0,0.3
594381,0,0.3
594382,0,0.5
594383,0,0.0
594384,0,0.1
594385,0,0.0
594386,0,0.5
594387,0,0.0
594388,0,0.9
594389,0,0.4
594390,0,0.0
594391,0,0.3
594392,0,0.2
594393,0,0.7
594394,0,0.1
594395,0,0.0
594396,0,0.7
594397,0,0.0
594398,0,0.4
594399,0,0.4
594400,0,0.2
594401,0,1.0
594402,0,0.0
594403,0,0.1
594404,0,0.0
594405,0,0.6
594406,0,0.1
594407,0,0.0
594408,0,0.5
594409,0,0.0
594410,0,0.0
594411,0,0.4
594412,0,0.6
594413,0,0.0
594414,0,0.0
594415,0,0.0
594416,0,0.8
594417,0,0.0
594418,0,0.0
594419,0,0.0
594420,0,0.0
594421,0,0.7
594422,0,0.0
594423,0,0.0
594424,0,0.0
594425,0,0.0
594426,0,0.0
594427,0,0.5
594428,0,0.0
594429,0,0.0
594430,0,0.0
594431,0,0.4
594432,0,0.0
594433,0,0.7
594434,0,0.0
594435,0,0.4
594436,0,0.1
594437,0,0.0
594438,0,0.0
594439,0,0.1
594440,0,0.0
594441,0,0.0
594442,0,0.0
594443,0,0.0
594444,0,0.6
594445,0,0.4
594446,0,0.0
594447,0,0.9
594448,0,0.2
594449,0,0.0
594450,0,0.0
594451,0,0.1
594452,0,0.2
594453,0,0.0
594454,0,0.0
594455,0,0.8
594456,0,0.5
594457,0,0.0
594458,0,0.2
594459,0,0.0
594460,0,0.0
594461,0,0.0
594462,0,0.1
594463,0,0.1
594464,0,0.1
594465,0,0.0
594466,0,0.6
594467,0,0.0
594468,0,0.0
594469,0,0.0
594470,0,0.4
594471,0,0.0
594472,0,1.0
594473,0,0.0
594474,0,0.1
594475,0,0.2
594476,0,0.8
594477,0,0.0
594478,0,0.3
594479,0,0.7
594480,0,0.6
594481,0,0.3
594482,0,0.0
594483,0,0.1
594484,0,0.7
594485,0,0.0
594486,0,0.0
594487,0,0.0
594488,0,0.0
594489,0,0.2
594490,0,0.0
594491,0,0.0
594492,0,0.7
594493,0,0.5
594494,0,0.6
594495,0,0.7
594496,0,0.0
594497,0,0.0
594498,0,0.5
594499,0,0.0
594500,0,0.4
594501,0,0.2
594502,0,0.0
594503,0,0.0
594504,0,0.0
594505,0,0.1
594506,0,0.4
594507,0,0.3
594508,0,0.2
594509,0,0.5
594510,0,0.0
594511,0,0.0
594512,0,0.1
594513,0,0.0
594514,0,0.1
594515,0,0.6
594516,0,0.0
594517,0,0.0
594518,0,0.0
594519,0,0.0
